#Zeitstempel[ms];BeschleunigungX[m/s2];BeschleunigungY[m/s2];BeschleunigungZ[m/s2];GyroskopX[rad/s];GyroskopY[rad/s];GyroskopZ[rad/s]
1655820540104;-2,213957;3,280324;9,333097;0,233892;0,013491;0,270264
1655820540115;-2,576046;3,302955;9,647896;0,369399;-0,208165;0,161513
1655820540126;-2,576046;3,302955;9,647896;0,369399;-0,208165;0,161513
1655820540136;-2,576046;3,302955;9,647896;0,369399;-0,208165;0,161513
1655820540146;-2,576046;3,302955;9,647896;0,369399;-0,208165;0,161513
1655820540156;-2,629188;3,242477;9,257296;0,244346;-0,289061;0,254644
1655820540167;-2,629188;3,242477;9,257296;0,244346;-0,289061;0,254644
1655820540177;-2,629188;3,242477;9,257296;0,244346;-0,289061;0,254644
1655820540187;-2,195521;2,83687;9,071199;-0,031817;-0,13844;0,311419
1655820540197;-2,195521;2,83687;9,071199;-0,031817;-0,13844;0,311419
1655820540207;-2,195521;2,83687;9,071199;-0,031817;-0,13844;0,311419
1655820540217;-1,528803;2,42479;7,398792;-0,072553;0,021258;0,254836
1655820540228;-1,528803;2,42479;7,398792;-0,072553;0,021258;0,254836
1655820540238;-1,528803;2,42479;7,398792;-0,072553;0,021258;0,254836
1655820540248;-1,528803;2,42479;7,398792;0,094335;-0,065432;0,114494
1655820540258;-1,526562;2,367147;7,288659;0,094335;-0,065432;0,114494
1655820540268;-1,526562;2,367147;7,288659;0,094335;-0,065432;0,114494
1655820540278;-1,526562;2,367147;7,288659;0,094335;-0,065432;0,114494
1655820540288;-1,567244;2,56737;7,0922;0,284349;-0,059149;0,148754
1655820540299;-1,567244;2,56737;7,0922;0,284349;-0,059149;0,148754
1655820540309;-1,567244;2,56737;7,0922;0,284349;-0,059149;0,148754
1655820540319;-1,64247;3,026913;6,038809;0,221343;0,039043;0,231483
1655820540329;-1,64247;3,026913;6,038809;0,221343;0,039043;0,231483
1655820540339;-1,64247;3,026913;6,038809;0,221343;0,039043;0,231483
1655820540350;-1,892166;3,477597;6,819845;0,213995;-0,198671;0,052465
1655820540360;-1,892166;3,477597;6,819845;0,213995;-0,198671;0,052465
1655820540371;-1,892166;3,477597;6,819845;0,213995;-0,198671;0,052465
1655820540381;-1,892166;3,477597;6,819845;-0,038118;-0,230017;-0,136904
1655820540392;-1,961397;3,813915;7,200351;-0,038118;-0,230017;-0,136904
1655820540402;-1,961397;3,813915;7,200351;-0,038118;-0,230017;-0,136904
1655820540412;-1,961397;3,813915;7,200351;-0,038118;-0,230017;-0,136904
1655820540422;-1,735097;4,154496;8,559568;-0,286374;-0,155073;-0,131772
1655820540433;-1,735097;4,154496;8,559568;-0,286374;-0,155073;-0,131772
1655820540443;-1,735097;4,154496;8,559568;-0,286374;-0,155073;-0,131772
1655820540453;-1,441951;4,268584;7,943435;-0,399576;0,139173;-0,117827
1655820540463;-1,441951;4,268584;7,943435;-0,399576;0,139173;-0,117827
1655820540474;-1,441951;4,268584;7,943435;-0,399576;0,139173;-0,117827
1655820540484;-2,050241;4,675158;8,983026;-0,286094;0,117478;-0,294978
1655820540494;-2,050241;4,675158;8,983026;-0,286094;0,117478;-0,294978
1655820540504;-2,050241;4,675158;8,983026;-0,286094;0,117478;-0,294978
1655820540515;-2,222212;4,932008;10,785783;-0,116885;-0,377986;-0,414987
1655820540525;-2,222212;4,932008;10,785783;-0,116885;-0,377986;-0,414987
1655820540535;-2,222212;4,932008;10,785783;-0,116885;-0,377986;-0,414987
1655820540545;-2,222212;4,932008;10,785783;-0,116885;-0,377986;-0,414987
1655820540556;-1,818655;5,172826;10,858423;-0,036896;-0,31313;-0,281504
1655820540566;-1,818655;5,172826;10,858423;-0,036896;-0,31313;-0,281504
1655820540576;-1,818655;5,172826;10,858423;-0,036896;-0,31313;-0,281504
1655820540587;-2,079029;5,521872;10,710787;-0,088907;0,111788;-0,199543
1655820540597;-2,079029;5,521872;10,710787;-0,088907;0,111788;-0,199543
1655820540607;-2,079029;5,521872;10,710787;-0,088907;0,111788;-0,199543
1655820540617;-1,871883;5,162675;12,62997;0,080355;-0,52887;-0,411426
1655820540627;-1,871883;5,162675;12,62997;0,080355;-0,52887;-0,411426
1655820540637;-1,871883;5,162675;12,62997;0,080355;-0,52887;-0,411426
1655820540648;-1,871883;5,162675;12,62997;0,07662;-0,210434;-0,344336
1655820540658;-1,220095;4,494309;11,006251;0,07662;-0,210434;-0,344336
1655820540668;-1,220095;4,494309;11,006251;0,07662;-0,210434;-0,344336
1655820540678;-1,220095;4,494309;11,006251;0,07662;-0,210434;-0,344336
1655820540690;-1,00544;3,331915;10,02138;0,193452;0,29517;-0,205425
1655820540700;-1,00544;3,331915;10,02138;0,193452;0,29517;-0,205425
1655820540710;-1,00544;3,331915;10,02138;0,193452;0,29517;-0,205425
1655820540720;-1,208737;3,155146;9,20426;0,300266;0,254521;-0,23164
1655820540730;-1,208737;3,155146;9,20426;0,300266;0,254521;-0,23164
1655820540740;-1,208737;3,155146;9,20426;0,300266;0,254521;-0,23164
1655820540751;-1,140981;2,937187;9,063059;0,538068;-0,185947;-0,289585
1655820540761;-1,140981;2,937187;9,063059;0,538068;-0,185947;-0,289585
1655820540771;-1,140981;2,937187;9,063059;0,538068;-0,185947;-0,289585
1655820540781;-1,140981;2,937187;9,063059;0,429508;-0,19162;-0,204814
1655820540791;-0,821297;2,803409;8,426163;0,429508;-0,19162;-0,204814
1655820540802;-0,821297;2,803409;8,426163;0,429508;-0,19162;-0,204814
1655820540812;-0,821297;2,803409;8,426163;0,429508;-0,19162;-0,204814
1655820540822;-0,632845;2,986757;6,871301;0,249233;-0,073374;-0,100252
1655820540832;-0,632845;2,986757;6,871301;0,249233;-0,073374;-0,100252
1655820540842;-0,632845;2,986757;6,871301;0,249233;-0,073374;-0,100252
1655820540855;-0,65241;3,379128;6,766282;0,135054;-0,000017;-0,147393
1655820540865;-0,65241;3,379128;6,766282;0,135054;-0,000017;-0,147393
1655820540875;-0,65241;3,379128;6,766282;0,135054;-0,000017;-0,147393
1655820540886;-0,911635;3,480949;6,820286;0,163607;-0,16174;-0,273982
1655820540896;-0,911635;3,480949;6,820286;0,163607;-0,16174;-0,273982
1655820540906;-0,911635;3,480949;6,820286;0,163607;-0,16174;-0,273982
1655820540916;-0,985214;3,851514;6,43253;-0,049445;0,289498;-0,172631
1655820540926;-0,985214;3,851514;6,43253;-0,049445;0,289498;-0,172631
1655820540937;-0,985214;3,851514;6,43253;-0,049445;0,289498;-0,172631
1655820540947;-0,985214;3,851514;6,43253;-0,049445;0,289498;-0,172631
1655820540957;-1,33855;4,372818;7,56743;-0,091665;0,243596;-0,114982
1655820540969;-1,33855;4,372818;7,56743;-0,091665;0,243596;-0,114982
1655820540980;-1,33855;4,372818;7,56743;-0,091665;0,243596;-0,114982
1655820540990;-1,278686;4,597461;8,057408;-0,160919;0,030351;-0,079639
1655820541000;-1,278686;4,597461;8,057408;-0,160919;0,030351;-0,079639
1655820541010;-1,278686;4,597461;8,057408;-0,160919;0,030351;-0,079639
1655820541021;-0,966597;4,557842;8,614932;-0,288485;0,072641;-0,092747
1655820541031;-0,966597;4,557842;8,614932;-0,288485;0,072641;-0,092747
1655820541041;-0,966597;4,557842;8,614932;-0,288485;0,072641;-0,092747
1655820541052;-1,158238;4,725168;8,595385;-0,288485;0,072641;-0,092747
1655820541062;-1,158238;4,725168;8,595385;-0,300633;0,336587;-0,089483
1655820541072;-1,158238;4,725168;8,595385;-0,300633;0,336587;-0,089483
1655820541082;-1,655006;4,961447;8,636681;-0,300633;0,336587;-0,089483
1655820541092;-1,806195;5,098232;8,691843;-0,183993;0,302989;-0,01014
1655820541102;-1,806195;5,098232;8,691843;-0,183993;0,302989;-0,01014
1655820541112;-1,806195;5,098232;8,691843;-0,183993;0,302989;-0,01014
1655820541122;-2,004684;5,250887;9,766322;-0,073042;-0,089762;0,147219
1655820541133;-2,004684;5,250887;9,766322;-0,073042;-0,089762;0,147219
1655820541143;-2,004684;5,250887;9,766322;-0,073042;-0,089762;0,147219
1655820541154;-1,52909;5,177739;10,156347;-0,137864;-0,003107;0,278729
1655820541164;-1,52909;5,177739;10,156347;-0,137864;-0,003107;0,278729
1655820541175;-1,52909;5,177739;10,156347;-0,137864;-0,003107;0,278729
1655820541185;-1,67801;5,194527;10,115474;-0,137864;-0,003107;0,278729
1655820541195;-1,67801;5,194527;10,115474;-0,146887;0,442703;0,289463
1655820541205;-1,67801;5,194527;10,115474;-0,146887;0,442703;0,289463
1655820541215;-2,741323;5,314744;10,107601;-0,146887;0,442703;0,289463
1655820541225;-2,741323;5,314744;10,107601;-0,202842;0,360917;0,175126
1655820541236;-2,741323;5,314744;10,107601;-0,202842;0,360917;0,175126
1655820541246;-2,741323;5,314744;10,107601;-0,202842;0,360917;0,175126
1655820541256;-2,720713;4,005902;12,366434;0,046373;-0,590183;0,174498
1655820541266;-2,720713;4,005902;12,366434;0,046373;-0,590183;0,174498
1655820541276;-2,720713;4,005902;12,366434;0,046373;-0,590183;0,174498
1655820541287;-2,119165;3,069721;10,344732;-0,143745;0,170135;0,320914
1655820541297;-2,119165;3,069721;10,344732;-0,143745;0,170135;0,320914
1655820541307;-2,119165;3,069721;10,344732;-0,143745;0,170135;0,320914
1655820541318;-2,697576;2,763618;9,632908;-0,143745;0,170135;0,320914
1655820541328;-2,697576;2,763618;9,632908;-0,01412;0,422439;0,311227
1655820541338;-2,697576;2,763618;9,632908;-0,01412;0,422439;0,311227
1655820541349;-3,000825;2,742855;9,959936;-0,01412;0,422439;0,311227
1655820541360;-3,000825;2,742855;9,959936;0,27091;-0,229999;0,224153
1655820541370;-3,000825;2,742855;9,959936;0,27091;-0,229999;0,224153
1655820541380;-3,000825;2,742855;9,959936;0,27091;-0,229999;0,224153
1655820541390;-2,569946;2,646072;9,058069;0,22719;-0,157341;0,327406
1655820541400;-2,569946;2,646072;9,058069;0,22719;-0,157341;0,327406
1655820541411;-2,569946;2,646072;9,058069;0,22719;-0,157341;0,327406
1655820541421;-2,199927;2,520951;8,404844;-0,124791;0,243473;0,406662
1655820541431;-2,199927;2,520951;8,404844;-0,124791;0,243473;0,406662
1655820541441;-2,199927;2,520951;8,404844;-0,124791;0,243473;0,406662
1655820541451;-1,830156;2,515521;6,562478;-0,124791;0,243473;0,406662
1655820541462;-1,830156;2,515521;6,562478;-0,105889;0,118508;0,318366
1655820541472;-1,830156;2,515521;6,562478;-0,105889;0,118508;0,318366
1655820541482;-1,764996;2,458749;6,943089;-0,105889;0,118508;0,318366
1655820541492;-1,764996;2,458749;6,943089;-0,081559;0,069464;0,187466
